Case,Site,DSoB,DSuB,DBH,BT,log_segment,bark_status,measurement
1,1,30.5,29,20,1.5,Log1,overbark,72.7
1,1,30.5,29,20,1.5,Log1,underbark,61.5
1,1,30.5,29,20,1.5,Log2,overbark,46.3
1,1,30.5,29,20,1.5,Log2,underbark,40.4
1,1,30.5,29,20,1.5,Log3,overbark,39.3
1,1,30.5,29,20,1.5,Log3,underbark,35.5
1,1,30.5,29,20,1.5,Log4,overbark,30.6
1,1,30.5,29,20,1.5,Log4,underbark,25.9
1,1,30.5,29,20,1.5,Log5,overbark,23.9
1,1,30.5,29,20,1.5,Log5,underbark,19.9
2,1,24,22,16,2,Log1,overbark,69.9
2,1,24,22,16,2,Log1,underbark,50
2,1,24,22,16,2,Log2,overbark,48.4
2,1,24,22,16,2,Log2,underbark,35.4
2,1,24,22,16,2,Log3,overbark,34.8
2,1,24,22,16,2,Log3,underbark,29.8
2,1,24,22,16,2,Log4,overbark,27.4
2,1,24,22,16,2,Log4,underbark,23
2,1,24,22,16,2,Log5,overbark,19.9
2,1,24,22,16,2,Log5,underbark,16.4
3,1,22,20,17,2,Log1,overbark,62
3,1,22,20,17,2,Log1,underbark,59
3,1,22,20,17,2,Log2,overbark,44
3,1,22,20,17,2,Log2,underbark,36
3,1,22,20,17,2,Log3,overbark,36
3,1,22,20,17,2,Log3,underbark,30
3,1,22,20,17,2,Log4,overbark,30
3,1,22,20,17,2,Log4,underbark,23
3,1,22,20,17,2,Log5,overbark,22
3,1,22,20,17,2,Log5,underbark,19
4,1,23,20,15,3,Log1,overbark,57
4,1,23,20,15,3,Log1,underbark,49
4,1,23,20,15,3,Log2,overbark,42
4,1,23,20,15,3,Log2,underbark,34
4,1,23,20,15,3,Log3,overbark,35
4,1,23,20,15,3,Log3,underbark,30
4,1,23,20,15,3,Log4,overbark,30
4,1,23,20,15,3,Log4,underbark,27
4,1,23,20,15,3,Log5,overbark,25
4,1,23,20,15,3,Log5,underbark,20
5,1,20,18,17,2,Log1,overbark,53
5,1,20,18,17,2,Log1,underbark,50
5,1,20,18,17,2,Log2,overbark,49
5,1,20,18,17,2,Log2,underbark,46
5,1,20,18,17,2,Log3,overbark,36
5,1,20,18,17,2,Log3,underbark,30
5,1,20,18,17,2,Log4,overbark,30
5,1,20,18,17,2,Log4,underbark,28
5,1,20,18,17,2,Log5,overbark,25
5,1,20,18,17,2,Log5,underbark,19
7,1,16,15,12.5,1,Log1,overbark,32
7,1,16,15,12.5,1,Log1,underbark,26
7,1,16,15,12.5,1,Log2,overbark,53
7,1,16,15,12.5,1,Log2,underbark,50
7,1,16,15,12.5,1,Log3,overbark,47
7,1,16,15,12.5,1,Log3,underbark,40
7,1,16,15,12.5,1,Log4,overbark,46
7,1,16,15,12.5,1,Log4,underbark,33
7,1,16,15,12.5,1,Log5,overbark,34
7,1,16,15,12.5,1,Log5,underbark,29
8,1,18.5,17,15,1.5,Log1,overbark,57
8,1,18.5,17,15,1.5,Log1,underbark,50
8,1,18.5,17,15,1.5,Log2,overbark,19
8,1,18.5,17,15,1.5,Log2,underbark,15
8,1,18.5,17,15,1.5,Log3,overbark,15
8,1,18.5,17,15,1.5,Log3,underbark,11
8,1,18.5,17,15,1.5,Log4,overbark,10
8,1,18.5,17,15,1.5,Log4,underbark,7
8,1,18.5,17,15,1.5,Log5,overbark,5
8,1,18.5,17,15,1.5,Log5,underbark,3
9,1,21,19.2,16,1.8,Log1,overbark,59.4
9,1,21,19.2,16,1.8,Log1,underbark,50.8
9,1,21,19.2,16,1.8,Log2,overbark,43
9,1,21,19.2,16,1.8,Log2,underbark,39
9,1,21,19.2,16,1.8,Log3,overbark,33
9,1,21,19.2,16,1.8,Log3,underbark,31
9,1,21,19.2,16,1.8,Log4,overbark,29
9,1,21,19.2,16,1.8,Log4,underbark,25
9,1,21,19.2,16,1.8,Log5,overbark,21
9,1,21,19.2,16,1.8,Log5,underbark,19
10,1,22,20,20,2,Log1,overbark,66.2
10,1,22,20,20,2,Log1,underbark,54.9
10,1,22,20,20,2,Log2,overbark,38
10,1,22,20,20,2,Log2,underbark,34.8
10,1,22,20,20,2,Log3,overbark,31.2
10,1,22,20,20,2,Log3,underbark,26.6
10,1,22,20,20,2,Log4,overbark,24.4
10,1,22,20,20,2,Log4,underbark,20.6
10,1,22,20,20,2,Log5,overbark,19.9
10,1,22,20,20,2,Log5,underbark,15.3
11,1,20.5,18.5,16,2,Log1,overbark,60
11,1,20.5,18.5,16,2,Log1,underbark,53.1
11,1,20.5,18.5,16,2,Log2,overbark,39.4
11,1,20.5,18.5,16,2,Log2,underbark,35.5
11,1,20.5,18.5,16,2,Log3,overbark,31.7
11,1,20.5,18.5,16,2,Log3,underbark,26.8
11,1,20.5,18.5,16,2,Log4,overbark,25.2
11,1,20.5,18.5,16,2,Log4,underbark,21
11,1,20.5,18.5,16,2,Log5,overbark,18.8
11,1,20.5,18.5,16,2,Log5,underbark,15.2
12,1,20,18,15,2,Log1,overbark,58.3
12,1,20,18,15,2,Log1,underbark,52.1
12,1,20,18,15,2,Log2,overbark,45.4
12,1,20,18,15,2,Log2,underbark,40.1
12,1,20,18,15,2,Log3,overbark,36.5
12,1,20,18,15,2,Log3,underbark,31.9
12,1,20,18,15,2,Log4,overbark,28.5
12,1,20,18,15,2,Log4,underbark,24.7
12,1,20,18,15,2,Log5,overbark,14.4
12,1,20,18,15,2,Log5,underbark,16.8
13,1,18.7,17,16,1.7,Log1,overbark,54.2
13,1,18.7,17,16,1.7,Log1,underbark,48.4
13,1,18.7,17,16,1.7,Log2,overbark,45.4
13,1,18.7,17,16,1.7,Log2,underbark,41
13,1,18.7,17,16,1.7,Log3,overbark,37.4
13,1,18.7,17,16,1.7,Log3,underbark,33.3
13,1,18.7,17,16,1.7,Log4,overbark,30.1
13,1,18.7,17,16,1.7,Log4,underbark,26.4
13,1,18.7,17,16,1.7,Log5,overbark,22.4
13,1,18.7,17,16,1.7,Log5,underbark,19.4
14,1,32,28,16,4,Log1,overbark,66.3
14,1,32,28,16,4,Log1,underbark,58.5
14,1,32,28,16,4,Log2,overbark,40.7
14,1,32,28,16,4,Log2,underbark,36.8
14,1,32,28,16,4,Log3,overbark,34.1
14,1,32,28,16,4,Log3,underbark,30.7
14,1,32,28,16,4,Log4,overbark,29
14,1,32,28,16,4,Log4,underbark,26
14,1,32,28,16,4,Log5,overbark,21.9
14,1,32,28,16,4,Log5,underbark,19.7
15,1,24,22,22,2,Log1,overbark,81.1
15,1,24,22,22,2,Log1,underbark,69.5
15,1,24,22,22,2,Log2,overbark,46.7
15,1,24,22,22,2,Log2,underbark,41.9
15,1,24,22,22,2,Log3,overbark,40.9
15,1,24,22,22,2,Log3,underbark,36.7
15,1,24,22,22,2,Log4,overbark,32.3
15,1,24,22,22,2,Log4,underbark,28.7
15,1,24,22,22,2,Log5,overbark,24.9
15,1,24,22,22,2,Log5,underbark,21.7
16,1,22,20,15,2,Log1,overbark,45
16,1,22,20,15,2,Log1,underbark,37
16,1,22,20,15,2,Log2,overbark,55.7
16,1,22,20,15,2,Log2,underbark,48.1
16,1,22,20,15,2,Log3,overbark,44
16,1,22,20,15,2,Log3,underbark,37.7
16,1,22,20,15,2,Log4,overbark,37.9
16,1,22,20,15,2,Log4,underbark,32.2
16,1,22,20,15,2,Log5,overbark,29.6
16,1,22,20,15,2,Log5,underbark,24.8
17,1,18,16,10,2,Log1,overbark,42
17,1,18,16,10,2,Log1,underbark,38
17,1,18,16,10,2,Log2,overbark,35
17,1,18,16,10,2,Log2,underbark,30
17,1,18,16,10,2,Log3,overbark,29
17,1,18,16,10,2,Log3,underbark,24
17,1,18,16,10,2,Log4,overbark,25
17,1,18,16,10,2,Log4,underbark,22
17,1,18,16,10,2,Log5,overbark,15
17,1,18,16,10,2,Log5,underbark,17
18,1,19.5,17,13,2.5,Log1,overbark,57
18,1,19.5,17,13,2.5,Log1,underbark,50
18,1,19.5,17,13,2.5,Log2,overbark,37
18,1,19.5,17,13,2.5,Log2,underbark,32.5
18,1,19.5,17,13,2.5,Log3,overbark,30
18,1,19.5,17,13,2.5,Log3,underbark,27
18,1,19.5,17,13,2.5,Log4,overbark,28
18,1,19.5,17,13,2.5,Log4,underbark,22
18,1,19.5,17,13,2.5,Log5,overbark,22
18,1,19.5,17,13,2.5,Log5,underbark,16
19,1,18.1,16,13,2.1,Log1,overbark,45
19,1,18.1,16,13,2.1,Log1,underbark,36
19,1,18.1,16,13,2.1,Log2,overbark,44
19,1,18.1,16,13,2.1,Log2,underbark,40
19,1,18.1,16,13,2.1,Log3,overbark,36.5
19,1,18.1,16,13,2.1,Log3,underbark,30.5
19,1,18.1,16,13,2.1,Log4,overbark,32
19,1,18.1,16,13,2.1,Log4,underbark,29.5
19,1,18.1,16,13,2.1,Log5,overbark,28
19,1,18.1,16,13,2.1,Log5,underbark,27
20,1,19,17,13.5,2,Log1,overbark,57
20,1,19,17,13.5,2,Log1,underbark,51
20,1,19,17,13.5,2,Log2,overbark,35.4
20,1,19,17,13.5,2,Log2,underbark,28.5
20,1,19,17,13.5,2,Log3,overbark,26
20,1,19,17,13.5,2,Log3,underbark,19
20,1,19,17,13.5,2,Log4,overbark,18.5
20,1,19,17,13.5,2,Log4,underbark,15
20,1,19,17,13.5,2,Log5,overbark,13.5
20,1,19,17,13.5,2,Log5,underbark,9.5
21,1,19,17,13.2,2,Log1,overbark,59.5
21,1,19,17,13.2,2,Log1,underbark,49
21,1,19,17,13.2,2,Log2,overbark,49.5
21,1,19,17,13.2,2,Log2,underbark,46.5
21,1,19,17,13.2,2,Log3,overbark,39
21,1,19,17,13.2,2,Log3,underbark,33
21,1,19,17,13.2,2,Log4,overbark,26
21,1,19,17,13.2,2,Log4,underbark,21.5
21,1,19,17,13.2,2,Log5,overbark,15
21,1,19,17,13.2,2,Log5,underbark,11
22,1,23,21,18,2,Log1,overbark,70
22,1,23,21,18,2,Log1,underbark,60.7
22,1,23,21,18,2,Log2,overbark,42
22,1,23,21,18,2,Log2,underbark,31
22,1,23,21,18,2,Log3,overbark,36
22,1,23,21,18,2,Log3,underbark,19
22,1,23,21,18,2,Log4,overbark,23
22,1,23,21,18,2,Log4,underbark,16
22,1,23,21,18,2,Log5,overbark,16
22,1,23,21,18,2,Log5,underbark,17
24,1,21,19,16,2,Log1,overbark,56
24,1,21,19,16,2,Log1,underbark,53.4
24,1,21,19,16,2,Log2,overbark,47.1
24,1,21,19,16,2,Log2,underbark,42.2
24,1,21,19,16,2,Log3,overbark,38.6
24,1,21,19,16,2,Log3,underbark,34.2
24,1,21,19,16,2,Log4,overbark,30
24,1,21,19,16,2,Log4,underbark,26.5
24,1,21,19,16,2,Log5,overbark,22.1
24,1,21,19,16,2,Log5,underbark,19.7
25,1,20,17,13.2,3,Log1,overbark,56
25,1,20,17,13.2,3,Log1,underbark,49.5
25,1,20,17,13.2,3,Log2,overbark,33
25,1,20,17,13.2,3,Log2,underbark,29
25,1,20,17,13.2,3,Log3,overbark,29
25,1,20,17,13.2,3,Log3,underbark,21
25,1,20,17,13.2,3,Log4,overbark,21
25,1,20,17,13.2,3,Log4,underbark,19
25,1,20,17,13.2,3,Log5,overbark,18
25,1,20,17,13.2,3,Log5,underbark,12
3,2,6,5,2,1,Log1,overbark,6
3,2,6,5,2,1,Log1,underbark,5
3,2,6,5,2,1,Log2,overbark,46
3,2,6,5,2,1,Log2,underbark,40
3,2,6,5,2,1,Log3,overbark,36
3,2,6,5,2,1,Log3,underbark,33.6
3,2,6,5,2,1,Log4,overbark,29
3,2,6,5,2,1,Log4,underbark,26.2
3,2,6,5,2,1,Log5,overbark,23
3,2,6,5,2,1,Log5,underbark,19.3
4,2,8,7,6,1,Log1,overbark,9
4,2,8,7,6,1,Log1,underbark,6
4,2,8,7,6,1,Log2,overbark,49
4,2,8,7,6,1,Log2,underbark,43
4,2,8,7,6,1,Log3,overbark,41
4,2,8,7,6,1,Log3,underbark,36.5
4,2,8,7,6,1,Log4,overbark,36
4,2,8,7,6,1,Log4,underbark,26.4
4,2,8,7,6,1,Log5,overbark,28
4,2,8,7,6,1,Log5,underbark,19
5,2,8,7,6,1,Log1,overbark,8
5,2,8,7,6,1,Log1,underbark,7
5,2,8,7,6,1,Log2,overbark,18
5,2,8,7,6,1,Log2,underbark,12
5,2,8,7,6,1,Log3,overbark,15
5,2,8,7,6,1,Log3,underbark,10
5,2,8,7,6,1,Log4,overbark,13
5,2,8,7,6,1,Log4,underbark,0
5,2,8,7,6,1,Log5,overbark,4
5,2,8,7,6,1,Log5,underbark,0
6,2,6.2,5.9,6,0.3,Log1,overbark,7.4
6,2,6.2,5.9,6,0.3,Log1,underbark,6
6,2,6.2,5.9,6,0.3,Log2,overbark,6
6,2,6.2,5.9,6,0.3,Log2,underbark,5
6,2,6.2,5.9,6,0.3,Log3,overbark,13
6,2,6.2,5.9,6,0.3,Log3,underbark,8
6,2,6.2,5.9,6,0.3,Log4,overbark,9
6,2,6.2,5.9,6,0.3,Log4,underbark,3
6,2,6.2,5.9,6,0.3,Log5,overbark,11
6,2,6.2,5.9,6,0.3,Log5,underbark,8.9
8,2,9,8,7,1,Log1,overbark,10.5
8,2,9,8,7,1,Log1,underbark,8.6
8,2,9,8,7,1,Log2,overbark,5
8,2,9,8,7,1,Log2,underbark,4
8,2,9,8,7,1,Log3,overbark,4
8,2,9,8,7,1,Log3,underbark,3
8,2,9,8,7,1,Log4,overbark,2
8,2,9,8,7,1,Log4,underbark,0
8,2,9,8,7,1,Log5,overbark,5.3
8,2,9,8,7,1,Log5,underbark,4.1
10,2,15,13,10.5,2,Log1,overbark,13.1
10,2,15,13,10.5,2,Log1,underbark,11.6
10,2,15,13,10.5,2,Log2,overbark,5.1
10,2,15,13,10.5,2,Log2,underbark,4.4
10,2,15,13,10.5,2,Log3,overbark,3
10,2,15,13,10.5,2,Log3,underbark,2.5
10,2,15,13,10.5,2,Log4,overbark,16
